plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,cassava mosaic disease incidence 3-month evaluation			|CO_334:0000196,cassava mosaic disease severity 3-month evaluation			|CO_334:0000192,petiole color visual rating 1-9			|CO_334:0000023,plant height measurement in cm			|CO_334:0000018,STE			|CO_334:0000257,apical pubescence visual rating 0-2			|CO_334:0000309,apical pubescence visual rating 0-7			|CO_334:0000026,first apical branch height measurement in cm			|CO_334:0000106,initial plant vigor assessment 1-5			|CO_334:0000220,initial vigor assessment 1-7			|CO_334:0000009,stem color visual scoring 1-4			|CO_334:0000062,Broken Stem,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0056_56,3496382,TMS21F1975P0056,56,1,,1,,,,,,59.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0057_57,3492788,TMS21F1975P0057,57,1,,1,,,,,,54,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0058_58,3494965,TMS21F1975P0058,58,1,,1,,,,,,75.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0059_59,3493480,TMS21F1975P0059,59,1,,1,,,,,,85,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0060_60,3492659,TMS21F1975P0060,60,1,,1,,,,,,108,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0061_61,3496657,TMS21F1975P0061,61,1,,1,,,,,,31,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0062_62,3494336,TMS21F1975P0062,62,1,,1,,,,,,110.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0063_63,3495914,TMS21F1975P0063,63,1,,1,,,,,,73,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0064_64,3495694,TMS21F1975P0064,64,1,,1,,,,,,110.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0065_65,3494749,TMS21F1975P0065,65,1,,1,,,,,,131,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0066_66,3495588,TMS21F1975P0066,66,1,,1,,,,,,130.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0067_67,3493495,TMS21F1975P0067,67,1,,1,,,,,,110,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0068_68,3492599,TMS21F1975P0068,68,1,,1,,,,,,114.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0069_69,3494990,TMS21F1975P0069,69,1,,1,,,,,,104,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0070_70,3496790,TMS21F1975P0070,70,1,,1,,,,,,99.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0071_71,3494111,TMS21F1975P0071,71,1,,1,,,,,,73.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0072_72,3495472,TMS21F1975P0072,72,1,,1,,,,,,59,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0073_73,3491405,TMS21F1975P0073,73,1,,1,,,,,,63,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0074_74,3495584,TMS21F1975P0074,74,1,,1,,,,,,69.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0075_75,3493382,TMS21F1975P0075,75,1,,1,,,,,,69,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0076_76,3495446,TMS21F1975P0076,76,1,,1,,,,,,62.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0077_77,3496545,TMS21F1975P0077,77,1,,1,,,,,,71.8,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0078_78,3494721,TMS21F1975P0078,78,1,,1,,,,,,60.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0079_79,3494632,TMS21F1975P0079,79,1,,1,,,,,,46,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0080_80,3493045,TMS21F1975P0080,80,1,,1,,,,,,45.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0081_81,3494376,TMS21F1975P0081,81,1,,1,,,,,,58.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0082_82,3495055,TMS21F1975P0082,82,1,,1,,,,,,39,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0083_83,3492553,TMS21F1975P0083,83,1,,1,,,,,,52,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0084_84,3491305,TMS21F1975P0084,84,1,,1,,,,,,68.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0085_85,3494588,TMS21F1975P0085,85,1,,1,,,,,,62.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0086_86,3495508,TMS21F1975P0086,86,1,,1,,,,,,57.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0087_87,3492322,TMS21F1975P0087,87,1,,1,,,,,,66.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0088_88,3496086,TMS21F1975P0088,88,1,,1,,,,,,51.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0089_89,3493030,TMS21F1975P0089,89,1,,1,,,,,,56,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0090_90,3494869,TMS21F1975P0090,90,1,,1,,,,,,79,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0091_91,3491601,TMS21F1975P0091,91,1,,1,,,,,,84.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0092_92,3494726,TMS21F1975P0092,92,1,,1,,,,,,75.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0093_93,3492786,TMS21F1975P0093,93,1,,1,,,,,,81,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0094_94,3494430,TMS21F1975P0094,94,1,,1,,,,,,79,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0095_95,3496492,TMS21F1975P0095,95,1,,1,,,,,,64.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0096_96,3495099,TMS21F1975P0096,96,1,,1,,,,,,96,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0097_97,3493288,TMS21F1975P0097,97,1,,1,,,,,,87,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0098_98,3494273,TMS21F1975P0098,98,1,,1,,,,,,74.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0099_99,3494769,TMS21F1975P0099,99,1,,1,,,,,,75,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0100_100,3491097,TMS21F1975P0100,100,1,,1,,,,,,97.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0101_101,3495152,TMS21F1975P0101,101,1,,1,,,,,,79.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0102_102,3494084,TMS21F1975P0102,102,1,,1,,,,,,106.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0103_103,3493470,TMS21F1975P0103,103,1,,1,,,,,,109,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0104_104,3494921,TMS21F1975P0104,104,1,,1,,,,,,130.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0105_105,3491385,TMS21F1975P0105,105,1,,1,,,,,,131,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0106_106,3491231,TMS21F1975P0106,106,1,,1,,,,,,125,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0107_107,3496494,TMS21F1975P0107,107,1,,1,,,,,,85.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0108_108,3493534,TMS21F1975P0108,108,1,,1,,,,,,110,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0109_109,3492272,TMS21F1975P0109,109,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0110_110,3493287,TMS21F1975P0110,110,1,,1,,,,,,94.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0111_111,3492751,TMS21F1975P0111,111,1,,1,,,,,,102,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0112_112,3493145,TMS21F1975P0112,112,1,,1,,,,,,105.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0113_113,3495675,TMS21F1975P0113,113,1,,1,,,,,,124.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0114_114,3491883,TMS21F1975P0114,114,1,,1,,,,,,85.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0115_115,3491218,TMS21F1975P0115,115,1,,1,,,,,,110.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0116_116,3491146,TMS21F1975P0116,116,1,,1,,,,,,123.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0117_117,3492195,TMS21F1975P0117,117,1,,1,,,,,,111.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0001_118,3491099,TMS21F1976P0001,118,1,,1,,,,,,94.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0002_119,3495250,TMS21F1976P0002,119,1,,1,,,,,,63,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0003_120,3491423,TMS21F1976P0003,120,1,,1,,,,,,112,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0004_121,3491783,TMS21F1976P0004,121,1,,1,,,,,,120,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0005_122,3491359,TMS21F1976P0005,122,1,,1,,,,,,81,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0006_123,3496360,TMS21F1976P0006,123,1,,1,,,,,,129,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0007_124,3493728,TMS21F1976P0007,124,1,,1,,,,,,78,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0008_125,3496820,TMS21F1976P0008,125,1,,1,,,,,,63.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0009_126,3494363,TMS21F1976P0009,126,1,,1,,,,,,109,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0010_127,3494732,TMS21F1976P0010,127,1,,1,,,,,,92,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0011_128,3494801,TMS21F1976P0011,128,1,,1,,,,,,70.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0012_129,3496620,TMS21F1976P0012,129,1,,1,,,,,,87.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0013_130,3492479,TMS21F1976P0013,130,1,,1,,,,,,84,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0014_131,3492031,TMS21F1976P0014,131,1,,1,,,,,,79.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0015_132,3492505,TMS21F1976P0015,132,1,,1,,,,,,81.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0016_133,3496552,TMS21F1976P0016,133,1,,1,,,,,,92.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0017_134,3492793,TMS21F1976P0017,134,1,,1,,,,,,93,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0018_135,3495772,TMS21F1976P0018,135,1,,1,,,,,,109.8,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0019_136,3493952,TMS21F1976P0019,136,1,,1,,,,,,54.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0020_137,3492493,TMS21F1976P0020,137,1,,1,,,,,,95.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0021_138,3494320,TMS21F1976P0021,138,1,,1,,,,,,96.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0022_139,3492539,TMS21F1976P0022,139,1,,1,,,,,,114,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0023_140,3495876,TMS21F1976P0023,140,1,,1,,,,,,142,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0024_141,3493768,TMS21F1976P0024,141,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0025_142,3491388,TMS21F1976P0025,142,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0026_143,3493320,TMS21F1976P0026,143,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1976P0027_144,3491878,TMS21F1976P0027,144,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1977P0001_145,3491484,TMS21F1977P0001,145,1,,1,,,,,,120.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1977P0002_146,3491234,TMS21F1977P0002,146,1,,1,,,,,,115,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1977P0003_147,3490967,TMS21F1977P0003,147,1,,1,,,,,,121.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1977P0004_148,3495355,TMS21F1977P0004,148,1,,1,,,,,,124.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1978P0001_149,3491280,TMS21F1978P0001,149,1,,1,,,,,,108,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1978P0002_150,3491861,TMS21F1978P0002,150,1,,1,,,,,,114,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1978P0003_151,3493334,TMS21F1978P0003,151,1,,1,,,,,,129.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1978P0004_152,3493524,TMS21F1978P0004,152,1,,1,,,,,,118,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1978P0005_153,3493273,TMS21F1978P0005,153,1,,1,,,,,,124.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1978P0006_154,3493199,TMS21F1978P0006,154,1,,1,,,,,,119,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1978P0007_155,3492680,TMS21F1978P0007,155,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1978P0008_156,3496490,TMS21F1978P0008,156,1,,1,,,,,,153.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1978P0009_157,3495017,TMS21F1978P0009,157,1,,1,,,,,,152.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0001_158,3493559,TMS21F1979P0001,158,1,,1,,,,,,138.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0002_159,3492426,TMS21F1979P0002,159,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0003_160,3492439,TMS21F1979P0003,160,1,,1,,,,,,108.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0004_161,3492287,TMS21F1979P0004,161,1,,1,,,,,,93,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0005_162,3495708,TMS21F1979P0005,162,1,,1,,,,,,109,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0006_163,3494652,TMS21F1979P0006,163,1,,1,,,,,,116,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0007_164,3495556,TMS21F1979P0007,164,1,,1,,,,,,90,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0008_165,3492095,TMS21F1979P0008,165,1,,1,,,,,,96.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0009_166,3495083,TMS21F1979P0009,166,1,,1,,,,,,83,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0010_167,3495955,TMS21F1979P0010,167,1,,1,,,,,,84.9,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0011_168,3493426,TMS21F1979P0011,168,1,,1,,,,,,83.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0012_169,3492417,TMS21F1979P0012,169,1,,1,,,,,,89,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0013_170,3496208,TMS21F1979P0013,170,1,,1,,,,,,88,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0014_171,3495921,TMS21F1979P0014,171,1,,1,,,,,,74.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0015_172,3494831,TMS21F1979P0015,172,1,,1,,,,,,55.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1979P0016_173,3491045,TMS21F1979P0016,173,1,,1,,,,,,75.5,,,,,,,,,,,,
