TRIAL,YEAR_HARVEST,LOCATION,TRIAL_TYPE,PLOT_NAME,ACCESSION_NAME,PEDIGREE,FAMILY,DARTSEQLD,PLOT_NUMBER,BLOCK_NUMBER,IS_A_CONTROL,REP_NUMBER,RANGE_NUMBER,ROW_NUMBER,COL_NUMBER,SPROUT,SPRTCT1,SPRTCT3,VIGOR,CMD1S,CMD1I,CMD3S,MCMDS,CMD3I,MCMDI,CBB3S,CBB3I,PUBESEVERITY3,APICOL3,PETCOL3,LCOL3,LFSHP3,PLTHT1,BRNHT1,PLTHT2,BRNHT2,PLTHT3,BRNHT3,PLTHT3MAP,BRNHT3MAP,PLTHT4,PLTHT5,PLTHT6,PLTHT8MAP,PLTHT,BRNHT4,BRNHT5,BRNHT,BRNHT6,BRNHT8MAP,LVBRH4,LVBRH5,LVBRH6,LVBRH8MAP,STEMGIRTH4,STEMGIRTH5,STEMGIRTH6,STEMGIRTH8MAP,NOHAV,RTNO,RTROT,RTSZ,RTSHP,RTOUTCOL,RTINNCOL,PLPCOL,TC,NKLGT,EASEPL,SHTWT,RTWT,DM,FYLD,DYLD,HI,TYLD,L.1,A.1,B.1,L.2,A.2,B.2,L,A,B
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2148P0003_574,TMS21F2148P0003,TMS15F1302P0027/TMS18F1481P0029,TMS21F2148,,574,29,,1,,29,14,0.8,4,4,3,3,0.5,3,3,0.5,0.5,2,0.5,0,5,7,5,5,50,0,37,0,45,0,44,0,100,97,110,102.3,65.8,,,,,,,,,,0.5,0.5,0.6,0.5,4,14,0,3,3,3,1,1,1,3,1,2.8,3.3,44.21,7.92,3.5,0.54,6.72,88.38,1.14,17.14,87.79,1.12,17,88.09,1.13,17.07
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2133P0002_575,TMS21F2133P0002,TMS15F1302P0027/TMS18F1539P0086,TMS21F2133,,575,29,,1,,29,15,1,5,4,3,1,0,1,1,0,0,2,0.8,0,3,7,5,5,40,20,45,35,42,20,42.3,25,95,110,95,100,66.4,20,20,23,25,21.7,3,3,3,3,0.7,0.8,0.8,0.8,4,19,1,5,2,3,1,1,1,3,1,4.15,4.65,43.05,11.16,4.8,0.53,9.96,87.99,0.16,15.65,88.58,0.08,15.2,88.29,0.12,15.43
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2057P0009_576,TMS21F2057P0009,TMS18F1015P0015/TMS18F1095P0041,TMS21F2057,,576,29,,1,,29,16,1,5,5,7,2,0.2,1,1.5,0,0.1,2,0.8,0,7,7,5,5,60,0,65,0,65,0,63.3,0,145,155,130,143.3,98,,,,,,,,,,0.7,0.8,0.7,0.8,5,20,2,5,2,3,1,2,2,3,1,5.6,9.8,32.16,23.52,7.56,0.64,13.44,86.52,3.71,32.04,85.75,3.4,31.58,86.14,3.56,31.81
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2107P0017_577,TMS21F2107P0017,TMS14F1035P0004/TMS15F1474P0007,TMS21F2107,,577,29,,1,,29,17,1,5,5,7,1,0,1,1,0,0,2,0.6,0,5,7,5,5,60,40,45,40,60,35,55,38.3,115,130,117,120.7,82,45,45,41,43,44.3,3,1,2,2,0.8,0.6,0.7,0.7,4,28,0,5,2,3,1,2,2,3,1,2.9,7.75,46.7,18.6,8.7,0.73,6.96,85.33,1.49,28.82,84.96,1.48,28.57,85.15,1.49,28.7
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2240P0016_578,TMS21F2240P0016,TMS14F1035P0004/?,TMS21F2240,,578,29,,1,,29,18,1,5,5,7,1,0,1,1,0,0,2,0.6,0,5,7,5,5,42,0,45,0,50,0,45.7,0,115,120,90,108.3,74.4,40,65,21,55,53.3,2,1,2,1.7,0.8,0.7,0.6,0.7,5,25,0,5,2,3,1,1,1,3,1,3.4,7.6,42.66,18.24,7.78,0.69,8.16,90.01,-0.14,17.55,89.83,-0.1,16.92,89.92,-0.12,17.24
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2248P0060_579,TMS21F2248P0060,TMS18F1286P0003/?,TMS21F2248,,579,29,,1,,29,19,1,5,5,7,1,0,1,1,0,0,2,0.6,0,5,7,5,5,80,0,55,0,70,0,68.3,0,205,145,180,176.7,111,,,,,,,,,,0.9,0.8,0.8,0.8,5,28,5,5,2,3,1,1,1,3,1,4.95,5.75,45.08,13.8,6.22,0.54,11.88,89.53,-0.02,15.84,89.46,-0.18,15.69,89.5,-0.1,15.77
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2066P0002_580,TMS21F2066P0002,TMS18F1294P0011/TMS15F1329P0005,TMS21F2066,,580,29,,1,,29,20,1,5,5,3,1,0,1,1,0,0,2,0.6,1,7,7,5,5,45,35,45,0,45,35,45,23.3,150,150,165,155,87,35,40,29,45,40,2,2,2,2,0.7,0.6,0.9,0.7,5,18,0,5,2,3,1,1,1,3,1,9.25,5.1,42.3,12.24,5.18,0.36,22.2,88.19,0.25,16.58,87.9,0.19,16.24,88.05,0.22,16.41
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2012P0005_581,TMS21F2012P0005,TMS18F1481P0029/TMS15F1329P0005,TMS21F2012,,581,30,,1,,30,20,1,5,5,5,3,1,3,3,1,1,2,0.8,1,5,8,3,5,45,0,50,0,50,0,48.3,0,140,160,155,151.7,89,,125,,55,90,,1,1,1,0.6,0.8,0.8,0.7,5,22,0,5,2,3,1,1,1,3,1,6.4,5.1,42.56,12.24,5.21,0.44,15.36,89.2,0.37,17.78,88.79,0.39,17.61,89,0.38,17.7
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2247P0030_582,TMS21F2247P0030,TMS15F1100P0005/?,TMS21F2247,,582,30,,1,,30,19,1,5,5,5,1,0,1,1,0.6,0.3,2,1,0,7,7,5,5,55,40,40,25,52,38,49,34.3,125,125,130,126.7,79.4,30,45,35.6,40,38.3,3,2,3,2.7,0.7,0.6,0.8,0.7,5,22,0,3,2,3,1,1,1,3,1,5.35,3.9,37.07,9.36,3.47,0.42,12.84,90.86,-0.08,14.84,89.42,-0.08,14.5,90.14,-0.08,14.67
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2081P0002_583,TMS21F2081P0002,TMS14F1306P0015/TMS18F1015P0015,TMS21F2081,,583,30,,1,,30,18,0.8,4,5,5,1,0,1,1,0,0,2,0.6,0,7,8,3,5,40,0,50,0,50,0,46.7,0,105,105,120,110,70,,90,,,90,,1,,1,0.5,0.6,0.6,0.6,4,20,0,5,2,3,1,1,1,3,1,2.55,5.8,41.76,13.92,5.81,0.69,6.12,89.73,0.11,16.29,88.89,0.12,16.1,89.31,0.12,16.2
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMEB419_584,TMEB419,,TMEB419,DARTSEQLD,584,30,1,1,,30,17,1,5,5,5,1,0,1,1,0,0,2,1,0,3,7,5,5,34,0,47,0,48,0,43,0,105,135,135,125,73.8,,,,,,,,,,0.7,0.7,0.7,0.7,5,10,3,5,2,3,1,1,1,3,1,3.7,5.45,,13.08,,0.6,8.88,92.07,-0.4,16.12,90.71,-0.34,15.7,91.39,-0.37,15.91
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS15F1474P0007_585,TMS15F1474P0007,TMEB693/IITA-TMS-IBA090581,TMS15F1474,DARTSEQLD,585,30,,1,,30,16,1,5,5,7,1,0,1,1,0,0,,1,0,9,7,3,5,65,0,55,0,50,0,56.7,0,160,165,185,170,99,,,,165,165,,,1,1,0.8,0.8,0.9,0.8,5,30,0,7,2,3,1,1,1,3,1,7.6,16.85,37.2,40.44,15.04,0.69,18.24,88.78,-0.94,23.54,88.39,-0.92,23.27,88.59,-0.93,23.41
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2251P0023_586,TMS21F2251P0023,TMS18F1159P0011/?,TMS21F2251,,586,30,,1,,30,15,1,5,5,5,1,0,1,1,0,0,2,0.6,0,7,7,5,5,65,30,65,32,65,40,65,34,170,140,150,153.3,101,65,40,41.4,,52.5,2,2,,2,0.8,0.8,0.9,0.8,4,6,0,5,2,3,1,2,3,3,1,2.8,3,35.15,7.2,2.53,0.52,6.72,82.32,5.8,29.8,82.1,5.78,29.39,82.21,5.79,29.6
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2222P0004_587,TMS21F2222P0004,TMS14F1035P0004/TMS18F1299P0012,TMS21F2222,,587,30,,1,,30,14,1,5,5,5,1,0,1,1,0,0,2,1,1,5,7,5,5,45,0,50,0,50,0,48.3,0,150,155,95,133.3,90,,,,,,,,,,0.8,0.8,0.5,0.7,5,11,2,7,2,3,1,1,1,3,1,5.45,7.8,40.43,18.72,7.57,0.59,13.08,88.35,0.31,17.78,87.86,0.33,17.59,88.11,0.32,17.69
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2207P0003_588,TMS21F2207P0003,TMS18F1157P0033/TMS18F1325P0021,TMS21F2207,,588,30,,1,,30,13,0.8,4,4,3,1,0,1,1,0,0,2,0.8,0,5,7,5,5,45,0,32,0,43,0,40,0,105,125,145,125,70,,,,,,,,,,0.5,0.6,0.7,0.6,4,23,0,3,2,3,1,2,2,3,1,1.25,4.5,38.58,10.8,4.17,0.78,3,88.14,0.36,25.81,87.56,0.33,25.46,87.85,0.35,25.64
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2254P0029_589,TMS21F2254P0029,TMS18F1419P0037/?,TMS21F2254,,589,30,,1,,30,12,1,5,5,7,1,0,1,1,0,0,2,1,0,5,7,5,5,70,0,35,0,65,0,56.7,0,145,110,120,125,85,,,,60,60,,,1,1,0.8,0.4,0.7,0.7,5,6,8,3,2,,1,1,1,3,1,3.6,0.9,,2.16,,0.2,8.64,,,,,,,,,
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2044P0010_590,TMS21F2044P0010,TMS15F1302P0020/TMS15F1329P0005,TMS21F2044,,590,30,,1,,30,11,0.8,4,4,3,4,1,4,4,1,1,2,0.8,1,5,7,5,5,35,0,45,0,45,0,41.7,0,95,140,125,120,72,,95,,,95,,1,,1,0.5,0.8,0.6,0.6,4,18,1,3,2,3,1,1,1,3,1,2.45,3.95,35.1,9.48,3.33,0.62,5.88,88.02,0.22,16.84,88.18,0.25,16.67,88.1,0.24,16.76
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2242P0064_591,TMS21F2242P0064,TMS15F1474P0004/?,TMS21F2242,,591,30,,1,,30,10,1,5,5,5,3,0.4,3,3,0.6,0.5,2,1,0,7,7,5,5,65,0,45,0,40,0,50,0,120,115,170,135,77,,,,,,,,,,0.6,0.5,1,0.7,4,46,1,5,2,3,1,1,1,3,1,6.25,15.55,39.21,37.32,14.63,0.71,15,90.47,0.24,17.11,89.91,0.23,16.92,90.19,0.24,17.02
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS14F1306P0015_592,TMS14F1306P0015,IITA-TMS-IBA030060/IITA-TMS-MM970043,TMS14F1306,DARTSEQLD,592,30,,1,,30,9,1,5,5,5,1,0,1,1,0,0,2,0.6,0,9,8,3,5,35,0,40,0,35,0,36.7,0,110,110,80,100,66,,,,,,,,,,0.6,0.6,0.5,0.6,5,3,3,3,2,3,1,1,1,3,1,2.45,1.35,43.19,3.24,1.4,0.36,5.88,87.71,0.68,23.86,87.15,0.71,23.7,87.43,0.7,23.78
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA070593_593,IITA-TMS-IBA070593,IITA-TMS-IBA011277/IITA-TMS-IBA990067,IITA-TMS-IBA070593,DARTSEQLD,593,30,1,1,,30,8,1,5,5,7,1,0,1,1,0,0,2,1,0,5,3,5,5,65,40,60,30,50,25,58.3,31.7,155,160,140,151.7,98,45,35,35,25,35,3,3,3,3,0.8,0.8,0.6,0.7,5,22,0,5,3,3,1,2,4,3,1,8.4,10.35,39.25,24.84,9.75,0.55,20.16,83.23,3.21,41.43,82.32,3.18,40.67,82.78,3.2,41.05
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2042P0003_594,TMS21F2042P0003,TMS18F1420P0006/TMS14F1306P0015,TMS21F2042,,594,30,,1,,30,7,1,5,5,5,4,1,1,2.5,0,0.5,2,0.8,0,5,7,5,5,65,0,90,0,70,0,75,0,155,180,170,168.3,112,,,,,,,,,,0.5,0.7,0.6,0.6,5,12,0,3,2,3,1,1,1,3,1,3.9,2.4,42.16,5.76,2.43,0.38,9.36,89.11,0.07,15.68,88.97,0.05,15.21,89.04,0.06,15.45
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2065P0001_595,TMS21F2065P0001,TMS18F1294P0011/TMS18F1051P0039,TMS21F2065,,595,30,,1,,30,6,1,5,5,3,4,1,5,4.5,1,1,2,0.8,2,3,7,5,5,35,0,45,0,65,0,48.3,0,130,170,180,160,89,,,,,,,,,,0.5,0.6,0.7,0.6,5,14,0,3,2,2,1,1,1,3,1,2.9,1.4,40.01,3.36,1.34,0.33,6.96,88.53,-0.06,17.07,89.36,0,16.79,88.95,-0.03,16.93
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2121P0011_596,TMS21F2121P0011,TMS18F1015P0015/TMS15F1100P0005,TMS21F2121,,596,30,,1,,30,5,1,5,5,7,1,0,1,1,0,0,2,1,0,5,3,5,5,57,0,55,0,55,0,55.7,0,145,140,145,143.3,90.4,,,,,,,,,,0.8,0.7,0.6,0.7,5,29,0,5,2,3,1,2,2,3,1,4.75,8.6,41.12,20.64,8.49,0.64,11.4,85.28,0.96,28.16,84.94,0.95,27.51,85.11,0.96,27.84
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2122P0003_597,TMS21F2122P0003,TMS18F1095P0041/TMS18F1562P0004,TMS21F2122,,597,30,,1,,30,4,1,5,2,5,4,1,5,4.5,2.5,1.8,2,2.5,0,7,7,5,5,75,0,70,0,90,0,78.3,0,170,150,110,143.3,111,,,,,,,,,,0.5,0.6,0.5,0.6,5,7,0,3,2,3,1,2,2,3,1,3.25,1.5,42.95,3.6,1.55,0.32,7.8,87.54,0.36,25.33,87,0.36,25,87.27,0.36,25.17
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2056P0004_598,TMS21F2056P0004,TMS18F1015P0015/TMS18F1269P0003,TMS21F2056,,598,30,,1,,30,3,1,5,5,5,1,0,1,1,0,0,2,0.4,0,5,7,5,5,55,0,67,60,56,0,59.3,20,165,165,140,156.7,101.6,65,60,37,50,58.3,1,1,1,1,0.8,1,0.7,0.8,4,46,2,5,2,3,1,2,2,3,1,7.3,13.65,45.22,32.76,14.81,0.65,17.52,89.71,0.13,26.79,89.01,0.16,26.47,89.36,0.15,26.63
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2038P0006_599,TMS21F2038P0006,TMS18F1420P0006/TMS18F1095P0041,TMS21F2038,,599,30,,1,,30,2,0.4,2,2,3,1,0,1,1,0,0,2,0.5,1,5,7,5,5,60,0,63,0,0,0,41,0,185,95,,140,80.6,,30,,,30,,1,,1,0.7,1.1,,0.9,2,3,0,3,2,2,1,1,1,3,1,3.25,2.5,41.55,6,2.49,0.43,7.8,87.53,0.57,17.61,86.48,0.52,17.31,87.01,0.55,17.46
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2070P0003_600,TMS21F2070P0003,TMS15F1394P0007/TMS15F1302P0020,TMS21F2070,,600,30,,1,,30,1,1,5,5,7,1,0,1,1,0,0,2,0.2,0,3,7,5,5,75,66,90,75,80,70,81.7,70.3,185,180,170,178.3,122,75,70,71.2,70,71.7,2,2,2,2,1,0.9,1,0.9,5,50,0,5,2,3,1,1,1,3,1,12.45,14.85,44.47,35.64,15.85,0.54,29.88,87.16,1,16.69,86.16,1,16.39,86.66,1,16.54
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_601,IITA-TMS-IBA000070,TMEB459/?,IITA-TMS-IBA000070,DARTSEQLD,601,31,1,1,,31,1,0.8,4,4,7,1,0,1,1,0,0,2,0.8,0,5,8,5,5,100,70,65,50,85,55,83.3,58.3,180,140,170,163.3,114,67,50,58.4,60,59,1,1,1,1,0.7,0.7,1,0.8,4,31,3,5,2,2,,1,1,3,1,5.6,12.35,,29.64,,0.69,13.44,89.03,0.31,15.43,88.58,0.3,15.32,88.81,0.31,15.38
